"marca";"nome";"preco_antigo_reais";"preco_antigo_centavos";"preco_novo_reais";"preco_novo_centavos";"nota";"qtde_avaliacoes";"_fonte";"_data_coleta";"preco_antigo";"preco_novo"
"REEBOK";"Reebok Zig Dynamica 4 Masculino Adultos";0.0;0.0;1.099;0.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;1099.0
"OLYMPIKUS";"Tênis Running Masculino Olympikus Original Dynamic";345.0;75.0;328.0;75.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";345.75;328.75
"OLYMPIKUS";"Tênis Running Masculino Original Olympikus Pride 3";493.0;99.0;469.0;99.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";493.99;469.99
"OLYMPIKUS";"Olympikus Zex Masculino Adultos";229.0;99.0;163.0;99.0;4.7;145;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";229.99;163.99
"OLYMPIKUS";"Tênis Running Masculino Original Olympikus Asfalto";345.0;75.0;328.0;75.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";345.75;328.75
"OLYMPIKUS";"Olympikus Caminhada Urano 2 Sem gênero Adultos";229.0;99.0;152.0;99.0;4.8;1192;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";229.99;152.99
"TRYD";"Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve";99.0;99.0;71.0;99.0;4.5;9836;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";99.99;71.99
"OLYMPIKUS";"Olympikus 24/7 Lap Masculino Adultos";218.0;74.0;134.0;74.0;4.8;7863;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";218.74;134.74
"NIKE";"Tênis Nike Renew Ride 3 Masculino";0.0;0.0;309.0;0.0;4.7;73;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;309.0
"";"Tenis Masculino Academia Corrida Wave Force Promoção Barato";75.0;99.0;72.0;99.0;4.2;369;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";75.99;72.99
